Page ID,Page Name,Disclaimer,Amount Spent (USD)
414982988522222,Lynn Morris,Lynn Alvin Morris,2106
76625396025,CDC,Centers for Disease Control and Prevention (CDC) with Facebook ad credits,2103
94047978366,PCCC - BoldProgressives.org,PROGRESSIVE CHANGE CAMPAIGN COMMITTEE,2063
166618413413767,Jay Sekulow,American Center for Law and Justice,2062
153053554728336,iShares,"BLACKROCK, INC.",2056
103682110993833,Arctic Refuge Defense Campaign,Alaska Wilderness League,2051
106665770746177,Yinka Faleti For Missouri,Faleti for Missouri,1997
46093654473,National Republican Congressional Committee,NRCC,1985
18479402361,No Kid Hungry,No Kid Hungry,1964
598924810530984,Keeping America Great,FamTeeWorld,1963
159616034235,Walmart,WALMART INC.,1958
467804929927622,Jason Smith,JASON SMITH FOR CONGRESS,1942
114501575391943,Compare Medicare Quotes,Benepath,1940
680549575421741,UnitedVoice.com,"Beachside Media, Inc.",1930
345378512258813,Elise Stefanik,ELISE FOR CONGRESS,1922
21455818797,Feed the Children,"FEED THE CHILDREN, INC.",1912
100522438276117,Trares 4 Congress,Patricia Lynette Trares,1892
2185993931653388,The Recount,"Recount Media, Inc",1883
121049671390663,Mary Elizabeth Coleman,Friends of Mary Elizabeth Coleman,1882
1799282383731277,TwoSeventy,Alexander Jared Deutsch,1876
112694470356789,Trumpcare For America,Stuart Joseph Millar,1869
182950308416970,The Missouri Bar,The Missouri Bar,1856
7263476274,Mercy Corps,Mercy Corps,1854
43950743364,Stand for Children,"Stand for Children, Inc.",1832
109784800371914,Protect Kids: Fight Flavored E-Cigarettes,TOBACCO-FREE KIDS ACTION FUND,1829
8532248414,Wounded Warrior Project,"WOUNDED WARRIOR PROJECT, INC.",1825
83290028957,Care Net,CARE NET,1825
69983322463,Ted Cruz,TED CRUZ FOR SENATE,1811
110177119192569,Knightscope,William Li,1804
100666038243915,True American Patriot,Gold Sky Ventures LLC,1801
189069374944833,iWebQuotes,Todd Evans Butcher,1789
820882001277849,Coca-Cola,The Coca-Cola Company with Facebook ad credits,1780
