Page ID,Page Name,Disclaimer,Amount Spent (USD)
465483726908192,iVote,IVote Civic Education Fund,1780
276967979123378,Dario Anselmo for Hennepin Commissioner,Dario Anselmo for Commissioner,1776
118303441570966,Home Ownership Matters,NATIONAL ASSOCIATION OF REALTORS,1767
598924810530984,Keeping America Great,FamTeeWorld,1766
408250066356,Bill O'Reilly,"Bill Me, Inc.",1733
795601923917961,Better Place Forests,Better Place Forests,1729
6236054211,Brady,Brady Campaign to Prevent Gun Violence,1710
38471053686,Elizabeth Warren,"WARREN DEMOCRATS, INC.",1692
153053554728336,iShares,"BLACKROCK, INC.",1687
6279167307,Easterseals,Easterseals,1681
22978725268,Lutheran Social Service of MN,LUTHERAN SOCIAL SERVICE OF MINNESOTA,1669
83290028957,Care Net,CARE NET,1645
19036504767,Center for Victims of Torture,"CENTER FOR VICTIMS OF TORTURE, THE",1631
19972147679,SEIU,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),1608
110177119192569,Knightscope,William Li,1596
104851617686932,Concealed Country,Concealed Country,1588
101464861365288,Americans Networking Together,Lucy  Tran,1584
425771317501061,Michael Knowles,The Daily Wire,1571
76625396025,CDC,Centers for Disease Control and Prevention (CDC) with Facebook ad credits,1558
292351509697,Jerusalem Prayer Team,Jerusalem Prayer Team,1553
110022477032429,Mike Franken,FRANKEN FOR IOWA,1553
77852784853,Absolut,Pernod Ricard USA,1553
72186095846,Center For American Progress Action Fund,Center for American Progress Action Fund,1552
345378512258813,Elise Stefanik,ELISE FOR CONGRESS,1550
820882001277849,Coca-Cola,The Coca-Cola Company with Facebook ad credits,1550
1447994318779650,AirMedCare Network,AIrMedCare Network,1548
680549575421741,UnitedVoice.com,"Beachside Media, Inc.",1544
105929991030423,My Freedom Jersey,"My Freedom Jersey, LLP",1540
100666038243915,True American Patriot,Gold Sky Ventures LLC,1508
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",1493
97830335456,Patagonia,"PATAGONIA, INC.",1492
1023516414456183,Drain the DC Swamp PAC,DRAIN THE DC SWAMP PAC,1489
162973087127674,The Sheridan Story,"SHERIDAN STORY, THE",1478
1336293769761923,Jon Ossoff,JON OSSOFF FOR SENATE,1478
166618413413767,Jay Sekulow,American Center for Law and Justice,1464
107428150756519,US Money Daily,USMoneyDaily,1449
102389457864860,Treehuggers Bracelets,ECOMX LLC,1445
2012750189007245,Liquid Death Mountain Water,Liquid Death,1434
431099560800970,Front Page Live,"Front Page Live, Inc.",1430
210277954204,The Young Turks,"The Young Turks, Inc.",1424
1438808983108348,BOLD PAC,CHC BOLD PAC,1419
163302087408673,Stop The Donald,Stop the Donald,1400
102708954496320,Minnesotans for Justice Paul Thissen,Minnesotans for Justice Paul Thissen,1393
104934207736995,Paycheck to Paycheck,Center for American Progress Action Fund,1392
102317147871096,Treat People Like People,Treat People Like People Campaign,1387
104171467900394,Minnesota Central Kitchen,SECOND HARVEST HEARTLAND,1381
493811210669780,Creative Action Network,Creative Action Network,1376
496696933682736,Jeff Merkley,JEFF MERKLEY FOR OREGON,1376
405346683155169,Minnesota House DFL Campaign,DFL House Caucus,1372
197669827395385,Connected Commerce Council,Connected Commerce Council,1369
140357056032320,NEA Today,National Education Association,1363
17203056985,Partners In Health,Partners In Health,1352
46093654473,National Republican Congressional Committee,NRCC,1344
111970730196550,World War Zero,AMERICAN SECURITY PROJECT,1343
596556607135301,The Earthling Co.,Educated Earthling,1334
305380096638473,Charles Booker,BOOKER FOR KENTUCKY,1326
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",1325
113842443643787,QuickConcealed,QuickConcealed.com,1320
300992409852,Hoover Institution,Hoover Institution,1319
264394540255889,AFP Minnesota,AMERICANS FOR PROSPERITY,1314
1799282383731277,TwoSeventy,Alexander Jared Deutsch,1314
8492293163,Environmental Defense Fund,Environmental Defense Fund,1300
1507049176036031,Adam Jennings for State Senate,Campaign Fund of Adam Jennings,1285
2185993931653388,The Recount,"Recount Media, Inc",1283
834645469890446,Devin Nunes,DEVIN NUNES CAMPAIGN COMMITTEE,1270
1338822066131069,Women's March,Women's March,1266
85273022315,NAMI,NAMI,1266
7292655492,MoveOn,MOVEON.ORG CIVIC ACTION,1256
8532248414,Wounded Warrior Project,"WOUNDED WARRIOR PROJECT, INC.",1251
103859441027698,Heartland Priorities,DCCC,1250
570092813023833,Matt Walsh,The Daily Wire,1239
1917715138510680,Follow Your Legend,Legend Bracelet,1239
104325844436320,US Dollar Reports,US Dollar Reports,1237
102863274537312,Antone for Congress,ANTONE FOR CONGRESS,1234
108118933908193,Next Level Goods,Next Level Goods LLC,1231
109330805754158,AARP MN,AARP,1221
101724361319410,Ronny Jackson for U.S. Congress TX-13,Texans for Ronny Jackson,1220
7962229886,Environmental Working Group,ENVIRONMENTAL WORKING GROUP,1212
