Page ID,Page Name,Disclaimer,Amount Spent (USD)
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC.",1509
2353537341582545,Proud Patriots,"Unicorn Wealth, LLC",1503
30139072158,CARE,CARE,1499
245284549333866,ASMDSS,ASMDSS,1488
27544763621,Prison Fellowship,Prison Fellowship,1485
118303441570966,Home Ownership Matters,NATIONAL ASSOCIATION OF REALTORS,1483
373814729643508,Let America Vote,LET AMERICA VOTE PAC,1477
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,1466
586751814690068,Joni Ernst,Joni for Iowa,1463
209516845093,NRDC Action Fund,NRDC Action Fund,1443
106736034281444,This Place People Together,Lucy  Tran,1441
385473284886474,Hillsdale College,HILLSDALE COLLEGE,1416
81517275796,UNICEF USA,UNITED STATES FUND FOR UNICEF,1411
7369627665,Kansans for Life,Kansans for Life,1373
20876805343,March of Dimes,MARCH OF DIMES INC.,1351
408250066356,Bill O'Reilly,"Bill Me, Inc.",1339
6985452607,Brita USA,The Clorox Company,1334
8501031021,VoteVets.org,"VoteVets Action Fund, Inc.",1330
383877235817031,Keep America Great,Keep America Great,1329
1977738355807406,Sharice For Congress,SHARICE FOR CONGRESS,1306
1864721517082089,Democratic Attorneys General Association,Democratic Attorneys General Association,1294
2283535575207809,Ditch Mitch,DITCH FUND,1252
292351509697,Jerusalem Prayer Team,Jerusalem Prayer Team,1249
103859441027698,Heartland Priorities,DCCC,1248
608896929582416,Kali Barnett for Kansas,Kali for Kansas,1241
104325844436320,US Dollar Reports,US Dollar Reports,1227
328853823844484,Balance of Power,Balance of Power,1223
92730524910,AdventHealth,AdventHealth,1193
1836138529938551,Greater Half,Greater Half,1189
112942500238297,Trees4Australia,Trees4Australia,1183
100632491353488,Jayhawk Wind,Jayhawk Wind,1181
23875187730,Feeding America,Feeding America,1164
153053554728336,iShares,"BLACKROCK, INC.",1162
15687409793,World Wildlife Fund,World Wildlife Fund,1162
136769859682655,Derek Schmidt,"Schmidt for Attorney General, Inc.",1160
2602473023098666,Democratic Polling Center,Democratic Governors Association,1156
809098559256176,Congressman Ron Estes,Office of Congressman Ron Estes,1154
555787351119974,Coalition to Protect America's Health Care,Coalition to Protect America's Health Care,1149
131838311319,Kansas Health Foundation,KANSAS HEALTH FOUNDATION,1140
9316287847,Kansas Republican Party,KANSAS REPUBLICAN PARTY,1137
198791317334,AARP Kansas,AARP,1115
345378512258813,Elise Stefanik,ELISE FOR CONGRESS,1111
700806360047982,CFG Action,Club for Growth Action,1089
106668097529832,Kansans for Fair Play,Kansans for Fair Play,1080
342887442508723,Convention of States,Convention of States Action,1064
83290028957,Care Net,CARE NET,1059
6279167307,Easterseals,Easterseals,1054
321250352104571,Valerie Plame,VALERIE PLAME FOR CONGRESS,1048
166618413413767,Jay Sekulow,American Center for Law and Justice,1040
101383508020332,Flexhealthplan,FlexHealthPlan,1027
1836813953315803,Steve Watkins for Congress,COMMITTEE TO RE-ELECT STEVE WATKINS,1026
583984188754570,Kansas Counts,LEAGUE OF KANSAS MUNICIPALITIES,1022
834645469890446,Devin Nunes,DEVIN NUNES CAMPAIGN COMMITTEE,1014
105929991030423,My Freedom Jersey,"My Freedom Jersey, LLP",1012
101724361319410,Ronny Jackson for U.S. Congress TX-13,Texans for Ronny Jackson,1010
103682110993833,Arctic Refuge Defense Campaign,Alaska Wilderness League,992
169130470583214,Demand Justice,Demand Justice,976
1099478666810053,Meals For Pets,Meals for Pets,973
83673249645,Planned Parenthood Great Plains,Planned Parenthood Great Plains,971
1878332172410716,Be SMART for Kids,Everytown for Gun Safety Support Fund Inc,968
